,years_total,climbs_total,pitches_total,route_mean,route_max,boulder_mean,boulder_max,danger_factor,solos,hardest_solo,trad_count,sport_count,locations,success,quarter_max1,quarter_max2,quarter_max3,quarter_max4
0,0 days 00:00:00.000000000,1,1,3.0,3.0,,,0.0,0,,1,0,1,0,3.0,,,
0,0 days 00:00:00.000000000,1,1,10.2,10.2,,,0.0,0,,0,1,1,0,10.2,,,
0,10 days 00:00:00.000000000,3,10,1.3333333333333333,2.0,,,0.6666666666666666,3,2.0,3,0,3,0,2.0,,,
0,785 days 00:00:00.000000000,15,31,9.986666666666668,12.0,,,0.13333333333333333,0,,13,3,11,0,12.0,,,
0,461 days 00:00:00.000000000,3,4,10.933333333333332,12.0,,,0.0,0,,0,3,2,0,12.0,,,
0,2276 days 00:00:00.000000000,181,219,8.672289156626503,12.0,0.11538461538461539,1.5,0.08287292817679558,1,6.0,63,103,73,33,10.5,11.3,12.0,10.6
0,0 days 00:00:00.000000000,1,1,10.0,10.0,,,0.0,0,,0,1,1,0,10.0,,,
0,68 days 00:00:00.000000000,21,21,8.157142857142858,10.3,,,0.0,0,,6,15,8,8,10.3,8.8,,
0,304 days 00:00:00.000000000,5,5,8.1,9.5,,,0.0,0,,0,5,2,5,9.5,,,
0,3 days 00:00:00.000000000,7,7,8.157142857142857,10.6,,,0.42857142857142855,0,,6,0,3,0,10.6,,,
0,0 days 00:00:00.000000000,1,8,7.0,7.0,,,2.0,0,,1,0,1,1,7.0,,,
0,0 days 00:00:00.000000000,1,1,9.5,9.5,,,0.0,0,,0,1,1,0,9.5,,,
0,3973 days 00:00:00.000000000,5,7,4.0,4.0,,,0.2,3,,4,0,3,1,4.0,,,
0,346 days 00:00:00.000000000,13,18,9.461538461538462,12.3,,,0.23076923076923078,0,,6,8,9,6,12.3,,,
0,314 days 00:00:00.000000000,4,21,9.8,11.7,,,0.5,0,,1,0,4,0,11.7,,,
0,1472 days 00:00:00.000000000,23,27,9.372727272727273,11.6,1.8,1.8,0.043478260869565216,1,1.8,1,20,11,0,11.6,10.9,,
0,381 days 00:00:00.000000000,13,16,7.946153846153846,11.0,,,0.07692307692307693,0,,7,5,7,1,11.0,,,
0,9 days 00:00:00.000000000,7,15,4.857142857142857,7.0,,,0.0,7,7.0,7,0,1,0,7.0,,,
0,3 days 00:00:00.000000000,2,24,7.0,7.0,,,0.0,0,,2,0,2,0,7.0,,,
0,0 days 00:00:00.000000000,3,3,9.5,9.5,,,0.0,0,,0,3,2,1,9.5,,,
0,324 days 00:00:00.000000000,2,2,8.15,8.8,,,0.0,0,,1,0,2,0,8.8,,,
0,0 days 00:00:00.000000000,5,5,7.5200000000000005,10.3,,,0.0,0,,0,5,2,0,10.3,,,
0,22 days 00:00:00.000000000,19,28,7.458823529411765,11.3,0.0,0.0,0.0,0,,15,2,11,0,11.3,,,
0,0 days 00:00:00.000000000,2,2,8.5,10.0,,,0.0,0,,1,1,1,2,10.0,,,
0,532 days 00:00:00.000000000,31,60,8.18888888888889,10.6,,,0.16129032258064516,0,,13,14,21,0,10.6,8.5,,
0,8 days 00:00:00.000000000,10,10,7.25,8.5,,,0.0,0,,0,7,3,0,8.5,,,
0,1053 days 00:00:00.000000000,15,15,9.8,12.0,,,0.06666666666666667,0,,7,8,9,1,12.0,,,
0,28 days 00:00:00.000000000,8,8,7.5,8.5,,,0.0,0,,0,8,5,7,8.5,,,
0,206 days 00:00:00.000000000,3,14,6.5,7.0,,,0.0,0,,2,0,3,0,7.0,,,
0,0 days 00:00:00.000000000,3,3,11.066666666666668,12.3,,,0.0,0,,0,3,1,2,12.3,,,
0,350 days 00:00:00.000000000,77,80,8.084722222222222,10.9,0.8800000000000001,3.2,0.0,5,3.2,1,71,20,49,10.9,10.6,10.9,10.6
0,0 days 00:00:00.000000000,1,3,4.0,4.0,,,0.0,0,,1,0,1,0,4.0,,,
0,1716 days 00:00:00.000000000,17,57,6.386666666666667,9.5,,,0.11764705882352941,0,,15,0,12,0,9.5,,,
0,945 days 00:00:00.000000000,6,8,5.666666666666667,10.0,,,0.0,0,,5,1,2,0,10.0,,,
0,71 days 00:00:00.000000000,11,11,8.281818181818181,10.0,,,0.2727272727272727,0,,10,0,3,0,10.0,,,
0,407 days 00:00:00.000000000,52,66,7.2250000000000005,10.4,,,0.3076923076923077,0,,47,3,17,0,10.4,9.5,8.8,
0,179 days 00:00:00.000000000,8,8,8.075,9.8,,,0.0,0,,4,2,4,0,9.8,,,
0,0 days 00:00:00.000000000,2,2,8.5,10.0,,,0.0,0,,1,1,1,2,10.0,,,
0,28 days 00:00:00.000000000,19,20,7.2894736842105265,10.0,,,0.05263157894736842,0,,1,18,6,1,10.0,,,
0,12 days 00:00:00.000000000,5,7,8.9,10.5,,,0.0,0,,0,5,2,2,10.5,,,
0,37 days 00:00:00.000000000,4,4,9.25,10.0,2.7,3.2,0.0,0,,0,2,3,1,10.0,,,
0,1 days 00:00:00.000000000,4,4,8.125,8.5,,,0.0,0,,0,4,4,2,8.5,,,
0,0 days 00:00:00.000000000,3,3,8.333333333333334,9.5,,,0.0,0,,2,1,3,0,9.5,,,
0,58 days 00:00:00.000000000,16,16,7.81875,10.0,,,0.0,0,,1,15,7,0,10.0,,,
0,0 days 00:00:00.000000000,10,10,9.459999999999999,10.3,,,0.0,0,,0,10,5,4,10.3,,,
0,95 days 00:00:00.000000000,3,3,5.6,10.0,0.0,0.0,0.3333333333333333,3,10.0,1,0,3,0,10.0,,,
